# TIME                    COUNT_RATE              COUNT_RATE_ERR
  5.126138046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138146672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138246672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138346672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138446672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138546672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138646672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138746672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138846672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126138946672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126139046672800E+08   0.000000000000000E+00   0.000000000000000E+00
  5.126139146672800E+08   0.000000000000000E+00   0.000000000000000E+00
