TIME_SINCE_START	COUNT_RATE	COUNT_RATE_ERR
3225	3.182431372549020E+01	1.787431535913648E+00
3235	3.182431372549020E+01	1.787431535913648E+00
3245	3.563921568627451E+01	1.891533169585370E+00
3255	3.624156862745098E+01	1.907450980392157E+00
3265	3.533803921568627E+01	1.883523818846742E+00
3275	3.895215686274510E+01	1.977496154713571E+00
3285	3.343058823529412E+01	1.831984950301581E+00
3295	3.192470588235294E+01	1.790248608640201E+00
3305	3.594039215686274E+01	1.899508748892813E+00
3315	3.262745098039215E+01	1.809845346115257E+00
3325	3.473568627450980E+01	1.867402063082745E+00
3335	3.142274509803921E+01	1.776118564437748E+00
3345	3.322980392156862E+01	1.826475208649814E+00
3355	3.453490196078431E+01	1.861997125370118E+00
3365	3.403294117647059E+01	1.848415637536323E+00
3375	3.383215686274510E+01	1.842955018108067E+00
3385	3.142274509803921E+01	1.776118564437748E+00
3395	3.312941176470589E+01	1.823714095644607E+00
3405	3.463529411764706E+01	1.864701552540281E+00
3415	3.403294117647059E+01	1.848415637536323E+00
3425	3.322980392156862E+01	1.826475208649814E+00
3435	3.343058823529412E+01	1.831984950301581E+00
3445	3.222588235294118E+01	1.798673354507938E+00
3455	2.831058823529412E+01	1.685870995952606E+00
3465	3.714509803921569E+01	1.931081694034456E+00
3475	3.724549019607843E+01	1.933689503047100E+00
3485	3.553882352941176E+01	1.888867159564728E+00
3495	3.503686274509804E+01	1.875480264008223E+00
3505	3.292862745098039E+01	1.818179290480925E+00
3515	3.553882352941176E+01	1.888867159564728E+00
3525	3.523764705882353E+01	1.880846455988223E+00
3535	3.343058823529412E+01	1.831984950301581E+00
3545	3.423372549019608E+01	1.853860172561005E+00
3555	3.433411764705883E+01	1.856576452658892E+00
3565	3.092078431372549E+01	1.761875202488144E+00
3575	3.272784313725490E+01	1.812627585030806E+00
3585	3.363137254901961E+01	1.837478170877302E+00
3595	3.654274509803921E+01	1.915360278923436E+00
3605	3.794823529411764E+01	1.951846610344014E+00
3615	3.061960784313726E+01	1.753273644832425E+00
3625	3.383215686274510E+01	1.842955018108067E+00
3635	3.242666666666667E+01	1.804267997426088E+00
3645	3.373176470588236E+01	1.840218632013639E+00
3655	3.292862745098039E+01	1.818179290480925E+00
3665	3.453490196078431E+01	1.861997125370118E+00
3675	3.072000000000000E+01	1.756145511859290E+00
3685	3.704470588235294E+01	1.928470358568011E+00
3695	3.553882352941176E+01	1.888867159564728E+00
3705	3.604078431372549E+01	1.902159844040424E+00
3715	3.493647058823530E+01	1.872791402031950E+00
3725	3.312941176470589E+01	1.823714095644607E+00
3735	3.423372549019608E+01	1.853860172561005E+00
3745	3.704470588235294E+01	1.928470358568011E+00
3755	3.423372549019608E+01	1.853860172561005E+00
3765	3.312941176470589E+01	1.823714095644607E+00
3775	3.553882352941176E+01	1.888867159564728E+00
3785	3.503686274509804E+01	1.875480264008223E+00
3795	3.784784313725491E+01	1.949263092851210E+00
3805	3.804862745098039E+01	1.954426712739818E+00
3815	3.132235294117647E+01	1.773279044533278E+00
3825	3.333019607843137E+01	1.829232153930149E+00
3835	3.061960784313726E+01	1.753273644832425E+00
3845	2.136345098039216E+02	4.631115332134469E+00
3855	5.591843137254902E+01	2.369339978532331E+00
3865	2.108235294117647E+01	1.454820567460587E+00
3875	2.359215686274510E+01	1.538982622544905E+00
3885	2.359215686274510E+01	1.538982622544905E+00
3895	2.017882352941177E+01	1.423304470965491E+00
3905	2.128313725490196E+01	1.461731867965343E+00
3915	2.349176470588235E+01	1.535704700564415E+00
3925	2.118274509803922E+01	1.458280312102546E+00
3935	2.590117647058824E+01	1.612536812344120E+00
3945	2.238745098039216E+01	1.499174603100168E+00
3955	2.329098039215686E+01	1.529127776549930E+00
3965	2.680470588235294E+01	1.640421359773434E+00
3975	2.459607843137255E+01	1.571385810070441E+00
3985	2.449568627450980E+01	1.568175621201650E+00
3995	2.871215686274510E+01	1.697785426852419E+00
4005	2.560000000000000E+01	1.603134185177983E+00
4015	2.810980392156863E+01	1.679882092491948E+00
4025	2.339137254901961E+01	1.532419766962070E+00
4035	2.529882352941176E+01	1.593676083841259E+00
4045	2.640313725490196E+01	1.628087189607088E+00
4055	2.650352941176471E+01	1.631179475754358E+00
4065	2.680470588235294E+01	1.640421359773434E+00
4075	2.991686274509804E+01	1.733037327222670E+00
4085	2.750745098039216E+01	1.661785886845174E+00
4095	2.770823529411765E+01	1.667839771691786E+00
4105	2.670431372549019E+01	1.637346527904636E+00
4115	2.981647058823529E+01	1.730127102957336E+00
4125	3.172392156862745E+01	1.784610016339444E+00
4135	3.202509803921568E+01	1.793061255478388E+00
4145	3.242666666666667E+01	1.804267997426088E+00
4155	3.182431372549020E+01	1.787431535913648E+00
4165	3.302901960784314E+01	1.820948795955908E+00
4175	2.961568627450981E+01	1.724291919040519E+00
4185	2.971607843137255E+01	1.727211975186598E+00
4195	3.051921568627451E+01	1.750397065955157E+00
4205	3.162352941176471E+01	1.781784028792355E+00
4215	3.232627450980392E+01	1.801472847804372E+00
4225	3.061960784313726E+01	1.753273644832425E+00
4235	3.232627450980392E+01	1.801472847804372E+00
4245	3.573960784313726E+01	1.894195427299208E+00
4255	2.670431372549019E+01	1.637346527904636E+00
4265	3.132235294117647E+01	1.773279044533278E+00
4275	3.172392156862745E+01	1.784610016339444E+00
4285	3.363137254901961E+01	1.837478170877302E+00
4295	3.001725490196078E+01	1.735942672644074E+00
4305	3.664313725490196E+01	1.917989463797238E+00
4315	3.132235294117647E+01	1.773279044533278E+00
4325	3.212549019607843E+01	1.795869497223361E+00
4335	3.041882352941176E+01	1.747515751959011E+00
4345	3.162352941176471E+01	1.781784028792355E+00
4355	3.363137254901961E+01	1.837478170877302E+00
4365	3.082039215686275E+01	1.759012690114282E+00
4375	3.463529411764706E+01	1.864701552540281E+00
4385	2.821019607843137E+01	1.682879208331566E+00
4395	3.754666666666667E+01	1.941491913367965E+00
4405	3.092078431372549E+01	1.761875202488144E+00
4415	3.312941176470589E+01	1.823714095644607E+00
4425	3.443450980392157E+01	1.859288764481469E+00
4435	3.363137254901961E+01	1.837478170877302E+00
4445	2.981647058823529E+01	1.730127102957336E+00
4455	3.242666666666667E+01	1.804267997426088E+00
4465	3.082039215686275E+01	1.759012690114282E+00
4475	3.533803921568627E+01	1.883523818846742E+00
4485	3.463529411764706E+01	1.864701552540281E+00
4495	3.523764705882353E+01	1.880846455988223E+00
4505	3.322980392156862E+01	1.826475208649814E+00
4515	3.353098039215686E+01	1.834733616438921E+00
4525	3.272784313725490E+01	1.812627585030806E+00
4535	3.604078431372549E+01	1.902159844040424E+00
4545	3.232627450980392E+01	1.801472847804372E+00
4555	3.343058823529412E+01	1.831984950301581E+00
4565	3.312941176470589E+01	1.823714095644607E+00
4575	2.897317647058824E+02	5.393217663925024E+00
4585	5.893019607843137E+01	2.432309496889367E+00
4595	2.539921568627451E+01	1.596835008811858E+00
4605	2.098196078431372E+01	1.451352575478057E+00
4615	2.710588235294118E+01	1.649611467309677E+00
4625	2.349176470588235E+01	1.535704700564415E+00
4635	2.379294117647059E+01	1.545517609998120E+00
4645	2.379294117647059E+01	1.545517609998120E+00
4655	2.379294117647059E+01	1.545517609998120E+00
4665	2.449568627450980E+01	1.568175621201650E+00
4675	2.610196078431373E+01	1.618774889070140E+00
4685	2.058039215686275E+01	1.437396938117155E+00
4695	2.610196078431373E+01	1.618774889070140E+00
4705	2.309019607843137E+01	1.522522442099762E+00
4715	2.680470588235294E+01	1.640421359773434E+00
4725	2.640313725490196E+01	1.628087189607088E+00
4735	2.871215686274510E+01	1.697785426852419E+00
4745	2.740705882352941E+01	1.658750658947344E+00
4755	2.469647058823529E+01	1.574589454191247E+00
4765	2.981647058823529E+01	1.730127102957336E+00
4775	2.810980392156863E+01	1.679882092491948E+00
4785	2.851137254901961E+01	1.691838699555410E+00
4795	2.800941176470588E+01	1.676879619864101E+00
4805	2.961568627450981E+01	1.724291919040519E+00
4815	3.162352941176471E+01	1.781784028792355E+00
4825	2.810980392156863E+01	1.679882092491948E+00
4835	2.780862745098039E+01	1.670858488680733E+00
4845	2.529882352941176E+01	1.593676083841259E+00
4855	2.871215686274510E+01	1.697785426852419E+00
4865	3.182431372549020E+01	1.787431535913648E+00
4875	2.800941176470588E+01	1.676879619864101E+00
4885	2.941490196078431E+01	1.718436921085359E+00
4895	3.061960784313726E+01	1.753273644832425E+00
4905	3.092078431372549E+01	1.761875202488144E+00
4915	3.162352941176471E+01	1.781784028792355E+00
4925	3.252705882352941E+01	1.807058823529412E+00
4935	2.841098039215686E+01	1.688857483671665E+00
4945	3.152313725490196E+01	1.778953551979354E+00
4955	2.800941176470588E+01	1.676879619864101E+00
4965	3.152313725490196E+01	1.778953551979354E+00
4975	3.322980392156862E+01	1.826475208649814E+00
4985	3.112156862745098E+01	1.767586320229297E+00
4995	3.122196078431373E+01	1.770434970458192E+00
5005	3.072000000000000E+01	1.756145511859290E+00
5015	3.302901960784314E+01	1.820948795955908E+00
5025	2.690509803921569E+01	1.643490438901449E+00
5035	3.262745098039215E+01	1.809845346115257E+00
5045	3.031843137254902E+01	1.744629679383368E+00
5055	3.252705882352941E+01	1.807058823529412E+00
5065	3.222588235294118E+01	1.798673354507938E+00
5075	3.523764705882353E+01	1.880846455988223E+00
5085	3.282823529411765E+01	1.815405559971150E+00
5095	3.162352941176471E+01	1.781784028792355E+00
5105	3.292862745098039E+01	1.818179290480925E+00
5115	3.021803921568628E+01	1.741738824573236E+00
5125	3.142274509803921E+01	1.776118564437748E+00
5135	3.051921568627451E+01	1.750397065955157E+00
5145	3.634196078431373E+01	1.910091052216766E+00
5155	3.122196078431373E+01	1.770434970458192E+00
5165	3.252705882352941E+01	1.807058823529412E+00
5175	3.242666666666667E+01	1.804267997426088E+00
5185	3.483607843137255E+01	1.870098673964891E+00
5195	3.192470588235294E+01	1.790248608640201E+00
5205	3.262745098039215E+01	1.809845346115257E+00
5215	3.383215686274510E+01	1.842955018108067E+00
5225	3.533803921568627E+01	1.883523818846742E+00
5235	3.182431372549020E+01	1.787431535913648E+00
5245	3.463529411764706E+01	1.864701552540281E+00
5255	3.353098039215686E+01	1.834733616438921E+00
5265	3.353098039215686E+01	1.834733616438921E+00
5275	3.102117647058823E+01	1.764733071685968E+00
5285	3.553882352941176E+01	1.888867159564728E+00
5295	3.563921568627451E+01	1.891533169585370E+00
5305	3.122196078431373E+01	1.770434970458192E+00
5315	3.493647058823530E+01	1.872791402031950E+00
5325	3.112156862745098E+01	1.767586320229297E+00
5335	3.453490196078431E+01	1.861997125370118E+00
5345	3.302901960784314E+01	1.820948795955908E+00
5355	3.132235294117647E+01	1.773279044533278E+00
5365	3.573960784313726E+01	1.894195427299208E+00
5375	3.322980392156862E+01	1.826475208649814E+00
5385	3.302901960784314E+01	1.820948795955908E+00
5395	3.102117647058823E+01	1.764733071685968E+00
5405	3.172392156862745E+01	1.784610016339444E+00
5415	3.029835294117647E+02	5.515176335488651E+00
5425	4.025725490196078E+01	2.010351374506746E+00
5435	2.851137254901961E+01	1.691838699555410E+00
5445	3.082039215686275E+01	1.759012690114282E+00
5455	2.891294117647059E+01	1.703711397494176E+00
5465	2.750745098039216E+01	1.661785886845174E+00
5475	2.790901960784314E+01	1.673871761622143E+00
5485	2.941490196078431E+01	1.718436921085359E+00
5495	3.302901960784314E+01	1.820948795955908E+00
5505	2.891294117647059E+01	1.703711397494176E+00
5515	2.670431372549019E+01	1.637346527904636E+00
5525	2.790901960784314E+01	1.673871761622143E+00
5535	3.051921568627451E+01	1.750397065955157E+00
5545	2.861176470588235E+01	1.694814671423662E+00
5555	2.680470588235294E+01	1.640421359773434E+00
5565	2.871215686274510E+01	1.697785426852419E+00
5575	2.891294117647059E+01	1.703711397494176E+00
5585	2.549960784313726E+01	1.599987696992299E+00
5595	2.941490196078431E+01	1.718436921085359E+00
5605	2.851137254901961E+01	1.691838699555410E+00
5615	2.660392156862745E+01	1.634265910824127E+00
5625	2.780862745098039E+01	1.670858488680733E+00
5635	2.770823529411765E+01	1.667839771691786E+00
5645	2.831058823529412E+01	1.685870995952606E+00
5655	2.971607843137255E+01	1.727211975186598E+00
5665	2.951529411764706E+01	1.721366909438218E+00
5675	2.780862745098039E+01	1.670858488680733E+00
5685	3.061960784313726E+01	1.753273644832425E+00
5695	2.770823529411765E+01	1.667839771691786E+00
5705	2.780862745098039E+01	1.670858488680733E+00
5715	3.041882352941176E+01	1.747515751959011E+00
5725	3.102117647058823E+01	1.764733071685968E+00
5735	3.092078431372549E+01	1.761875202488144E+00
5745	2.790901960784314E+01	1.673871761622143E+00
5755	2.640313725490196E+01	1.628087189607088E+00
5765	3.463529411764706E+01	1.864701552540281E+00
5775	2.991686274509804E+01	1.733037327222670E+00
5785	3.162352941176471E+01	1.781784028792355E+00
5795	3.373176470588236E+01	1.840218632013639E+00
5805	2.610196078431373E+01	1.618774889070140E+00
5815	3.061960784313726E+01	1.753273644832425E+00
5825	3.212549019607843E+01	1.795869497223361E+00
5835	3.011764705882353E+01	1.738843163676991E+00
5845	2.891294117647059E+01	1.703711397494176E+00
5855	3.082039215686275E+01	1.759012690114282E+00
5865	3.343058823529412E+01	1.831984950301581E+00
5875	2.951529411764706E+01	1.721366909438218E+00
5885	2.991686274509804E+01	1.733037327222670E+00
5895	2.841098039215686E+01	1.688857483671665E+00
5905	3.192470588235294E+01	1.790248608640201E+00
5915	2.881254901960784E+01	1.700750993176839E+00
5925	2.971607843137255E+01	1.727211975186598E+00
5935	2.961568627450981E+01	1.724291919040519E+00
5945	3.413333333333333E+01	1.851139906719199E+00
5955	3.001725490196078E+01	1.735942672644074E+00
5965	3.473568627450980E+01	1.867402063082745E+00
5975	3.282823529411765E+01	1.815405559971150E+00
5985	2.941490196078431E+01	1.718436921085359E+00
5995	3.553882352941176E+01	1.888867159564728E+00
6005	3.222588235294118E+01	1.798673354507938E+00
6015	3.182431372549020E+01	1.787431535913648E+00
6025	3.102117647058823E+01	1.764733071685968E+00
6035	3.282823529411765E+01	1.815405559971150E+00
6045	3.001725490196078E+01	1.735942672644074E+00
6055	3.262745098039215E+01	1.809845346115257E+00
6065	3.302901960784314E+01	1.820948795955908E+00
6075	2.951529411764706E+01	1.721366909438218E+00
6085	3.533803921568627E+01	1.883523818846742E+00
6095	3.252705882352941E+01	1.807058823529412E+00
6105	3.061960784313726E+01	1.753273644832425E+00
6115	3.092078431372549E+01	1.761875202488144E+00
6125	3.744627450980392E+01	1.938894598608611E+00
6135	2.931450980392157E+01	1.715501928471598E+00
6145	3.312941176470589E+01	1.823714095644607E+00
6155	3.443450980392157E+01	1.859288764481469E+00
6165	3.312941176470589E+01	1.823714095644607E+00
6175	3.122196078431373E+01	1.770434970458192E+00
6185	3.192470588235294E+01	1.790248608640201E+00
6195	3.282823529411765E+01	1.815405559971150E+00
6205	3.202509803921568E+01	1.793061255478388E+00
6215	3.152313725490196E+01	1.778953551979354E+00
6225	3.132235294117647E+01	1.773279044533278E+00
6235	3.563921568627451E+01	1.891533169585370E+00
6245	3.102117647058823E+01	1.764733071685968E+00
6255	3.092078431372549E+01	1.761875202488144E+00
6265	3.322980392156862E+01	1.826475208649814E+00
6275	3.021803921568628E+01	1.741738824573236E+00
6285	3.614117647058823E+01	1.904807249419071E+00
6295	3.262745098039215E+01	1.809845346115257E+00
6305	3.333019607843137E+01	1.829232153930149E+00
6315	3.373176470588236E+01	1.840218632013639E+00
6325	2.670431372549019E+01	1.637346527904636E+00
6335	3.393254901960784E+01	1.845687347285357E+00
6345	3.041882352941176E+01	1.747515751959011E+00
6355	3.192470588235294E+01	1.790248608640201E+00
6365	2.891294117647059E+01	1.703711397494176E+00
6375	3.333019607843137E+01	1.829232153930149E+00
6385	3.614117647058823E+01	1.904807249419071E+00
6395	3.092078431372549E+01	1.761875202488144E+00
6405	3.543843137254902E+01	1.886197381326400E+00
6415	3.182431372549020E+01	1.787431535913648E+00
6425	3.252705882352941E+01	1.807058823529412E+00
6435	3.624156862745098E+01	1.907450980392157E+00
6445	3.322980392156862E+01	1.826475208649814E+00
6455	3.343058823529412E+01	1.831984950301581E+00
6465	3.312941176470589E+01	1.823714095644607E+00
6475	3.393254901960784E+01	1.845687347285357E+00
6485	3.252705882352941E+01	1.807058823529412E+00
6495	3.122196078431373E+01	1.770434970458192E+00
6505	3.523764705882353E+01	1.880846455988223E+00
6515	3.262745098039215E+01	1.809845346115257E+00
6525	2.921411764705882E+01	1.712561905867995E+00
6535	3.413333333333333E+01	1.851139906719199E+00
6545	3.192470588235294E+01	1.790248608640201E+00
6555	3.112156862745098E+01	1.767586320229297E+00
6565	2.881254901960784E+01	1.700750993176839E+00
6575	3.373176470588236E+01	1.840218632013639E+00
6585	3.322980392156862E+01	1.826475208649814E+00
6595	3.383215686274510E+01	1.842955018108067E+00
6605	3.563921568627451E+01	1.891533169585370E+00
6615	3.363137254901961E+01	1.837478170877302E+00
6625	3.322980392156862E+01	1.826475208649814E+00
6635	3.092078431372549E+01	1.761875202488144E+00
