TIME_SINCE_START	COUNT_RATE	ERR
25315	2.831058823529412E+01	1.685870995952606E+00
25325	3.172392156862745E+01	1.784610016339444E+00
25335	3.202509803921568E+01	1.793061255478388E+00
25345	3.302901960784314E+01	1.820948795955908E+00
25355	3.423372549019608E+01	1.853860172561005E+00
25365	3.001725490196078E+01	1.735942672644074E+00
25375	2.790901960784314E+01	1.673871761622143E+00
25385	2.921411764705882E+01	1.712561905867995E+00
25395	3.413333333333333E+01	1.851139906719199E+00
25405	3.112156862745098E+01	1.767586320229297E+00
25415	3.232627450980392E+01	1.801472847804372E+00
25425	3.322980392156862E+01	1.826475208649814E+00
25435	3.061960784313726E+01	1.753273644832425E+00
25445	3.604078431372549E+01	1.902159844040424E+00
25455	2.981647058823529E+01	1.730127102957336E+00
25465	3.232627450980392E+01	1.801472847804372E+00
25475	3.252705882352941E+01	1.807058823529412E+00
25485	3.162352941176471E+01	1.781784028792355E+00
25495	3.092078431372549E+01	1.761875202488144E+00
25505	3.222588235294118E+01	1.798673354507938E+00
25515	2.871215686274510E+01	1.697785426852419E+00
25525	2.730666666666667E+01	1.655709866914700E+00
25535	3.704470588235294E+01	1.928470358568011E+00
25545	3.172392156862745E+01	1.784610016339444E+00
25555	3.242666666666667E+01	1.804267997426088E+00
25565	3.051921568627451E+01	1.750397065955157E+00
25575	3.112156862745098E+01	1.767586320229297E+00
25585	3.162352941176471E+01	1.781784028792355E+00
25595	3.262745098039215E+01	1.809845346115257E+00
25605	3.453490196078431E+01	1.861997125370118E+00
25615	3.132235294117647E+01	1.773279044533278E+00
25625	3.202509803921568E+01	1.793061255478388E+00
25635	3.403294117647059E+01	1.848415637536323E+00
25645	2.680470588235294E+01	1.640421359773434E+00
25655	3.312941176470589E+01	1.823714095644607E+00
25665	3.473568627450980E+01	1.867402063082745E+00
25675	2.821019607843137E+01	1.682879208331566E+00
25685	3.001725490196078E+01	1.735942672644074E+00
25695	3.553882352941176E+01	1.888867159564728E+00
25705	3.302901960784314E+01	1.820948795955908E+00
25715	3.433411764705883E+01	1.856576452658892E+00
25725	3.092078431372549E+01	1.761875202488144E+00
25735	3.212549019607843E+01	1.795869497223361E+00
25745	3.473568627450980E+01	1.867402063082745E+00
25755	3.373176470588236E+01	1.840218632013639E+00
25765	3.262745098039215E+01	1.809845346115257E+00
25775	3.252705882352941E+01	1.807058823529412E+00
25785	3.272784313725490E+01	1.812627585030806E+00
25795	3.082039215686275E+01	1.759012690114282E+00
25805	2.981647058823529E+01	1.730127102957336E+00
25815	3.252705882352941E+01	1.807058823529412E+00
25825	3.433411764705883E+01	1.856576452658892E+00
25835	3.594039215686274E+01	1.899508748892813E+00
25845	3.403294117647059E+01	1.848415637536323E+00
25855	3.333019607843137E+01	1.829232153930149E+00
25865	3.403294117647059E+01	1.848415637536323E+00
25875	2.921411764705882E+01	1.712561905867995E+00
25885	3.031843137254902E+01	1.744629679383368E+00
25895	2.349176470588235E+02	4.856324667210420E+00
25905	9.336470588235294E+01	3.061549313400854E+00
25915	3.814901960784314E+01	1.957003413545956E+00
25925	2.680470588235294E+01	1.640421359773434E+00
25935	2.399372549019608E+01	1.552025081348047E+00
25945	2.630274509803922E+01	1.624989018979252E+00
25955	2.620235294117647E+01	1.621884930148745E+00
25965	2.780862745098039E+01	1.670858488680733E+00
25975	2.539921568627451E+01	1.596835008811858E+00
25985	2.660392156862745E+01	1.634265910824127E+00
25995	2.800941176470588E+01	1.676879619864101E+00
26005	2.580078431372549E+01	1.609408706949662E+00
26015	2.449568627450980E+01	1.568175621201650E+00
26025	2.670431372549019E+01	1.637346527904636E+00
26035	2.841098039215686E+01	1.688857483671665E+00
26045	2.319058823529412E+01	1.525828683652584E+00
26055	2.560000000000000E+01	1.603134185177983E+00
26065	2.560000000000000E+01	1.603134185177983E+00
26075	2.339137254901961E+01	1.532419766962070E+00
26085	2.620235294117647E+01	1.621884930148745E+00
26095	2.459607843137255E+01	1.571385810070441E+00
26105	2.489725490196079E+01	1.580977267252567E+00
26115	2.841098039215686E+01	1.688857483671665E+00
26125	2.369254901960784E+01	1.542253577611266E+00
26135	2.951529411764706E+01	1.721366909438218E+00
26145	2.580078431372549E+01	1.609408706949662E+00
26155	2.690509803921569E+01	1.643490438901449E+00
26165	3.222588235294118E+01	1.798673354507938E+00
26175	2.580078431372549E+01	1.609408706949662E+00
26185	2.931450980392157E+01	1.715501928471598E+00
26195	2.539921568627451E+01	1.596835008811858E+00
26205	2.891294117647059E+01	1.703711397494176E+00
26215	2.941490196078431E+01	1.718436921085359E+00
26225	3.353098039215686E+01	1.834733616438921E+00
26235	2.479686274509804E+01	1.577786593430760E+00
26245	2.831058823529412E+01	1.685870995952606E+00
26255	2.650352941176471E+01	1.631179475754358E+00
26265	3.082039215686275E+01	1.759012690114282E+00
26275	3.011764705882353E+01	1.738843163676991E+00
26285	2.770823529411765E+01	1.667839771691786E+00
26295	2.770823529411765E+01	1.667839771691786E+00
26305	2.710588235294118E+01	1.649611467309677E+00
26315	3.092078431372549E+01	1.761875202488144E+00
